Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
BTC-USD,Bitcoin USD,46127.52,-903.91,-1.92%,903.828B,39.274B,39.274B,39.274B,19.594M,,
ETH-USD,Ethereum USD,2339.98,0.63,+0.03%,281.228B,14.577B,14.577B,14.577B,120.184M,,
USDT-USD,Tether USDt USD,1.0002,-0.0005,-0.05%,94.112B,60.763B,60.763B,60.763B,94.091B,,
BNB-USD,BNB USD,299.6,-6.46,-2.11%,45.447B,1.374B,1.374B,1.374B,151.691M,,
SOL-USD,Solana USD,99.3,1.43,+1.46%,42.889B,4.051B,4.051B,4.051B,431.92M,,
XRP-USD,XRP USD,0.572283,-0.007858,-1.35%,31.024B,1.732B,1.732B,1.732B,54.21B,,
USDC-USD,USD Coin USD,1.0001,0.0001,+0.01%,25.232B,7.587B,7.587B,7.587B,25.229B,,
STETH-USD,Lido Staked ETH USD,2337.77,13.13,+0.56%,21.601B,29.295M,29.295M,29.295M,9.24M,,
ADA-USD,Cardano USD,0.507307,-0.032579,-6.03%,17.95B,655.497M,655.497M,655.497M,35.383B,,
AVAX-USD,Avalanche USD,34.39,-1.62,-4.51%,12.606B,961.068M,961.068M,961.068M,366.614M,,
DOGE-USD,Dogecoin USD,0.078992,-0.002593,-3.18%,11.263B,954.577M,954.577M,954.577M,142.587B,,
TRX-USD,TRON USD,0.102285,-0.001776,-1.71%,9.029B,264.923M,264.923M,264.923M,88.269B,,
WTRX-USD,Wrapped TRON USD,0.102246,-0.001926,-1.85%,9.025B,1.287M,1.287M,1.287M,88.271B,,
DOT-USD,Polkadot USD,7.1124,-0.3682,-4.92%,9.005B,293.013M,293.013M,293.013M,1.266B,,
LINK-USD,Chainlink USD,13.58,-0.6,-4.26%,7.717B,543.599M,543.599M,543.599M,568.1M,,
MATIC-USD,Polygon USD,0.800358,-0.03869,-4.61%,7.654B,558.932M,558.932M,558.932M,9.563B,,
TON11419-USD,Toncoin USD,2.1966,-0.0783,-3.44%,7.592B,62.261M,62.261M,62.261M,3.456B,,
WBTC-USD,Wrapped Bitcoin USD,45934.22,-951.02,-2.03%,7.27B,562.553M,562.553M,562.553M,158268,,
ICP-USD,Internet Computer USD,12.53,-1.18,-8.59%,5.702B,297.099M,297.099M,297.099M,455.058M,,
SHIB-USD,Shiba Inu USD,9.58e-06,6e-08,+0.58%,5.648B,299.559M,299.559M,299.559M,589.3T,,
DAI-USD,Dai USD,1.0001,-0.0001,-0.01%,5.348B,256.046M,256.046M,256.046M,5.348B,,
LTC-USD,Litecoin USD,66.4,-1.78,-2.61%,4.919B,474.189M,474.189M,474.189M,74.075M,,
BCH-USD,Bitcoin Cash USD,242.26,-9.44,-3.75%,4.751B,358.237M,358.237M,358.237M,19.609M,,
WEOS-USD,Wrapped EOS USD,3.6902,0.001,+0.03%,4.1B,53,53,53,1.111B,,
LEO-USD,UNUS SED LEO USD,4.0409,0.0227,+0.56%,3.75B,846800,846800,846800,927.989M,,
ATOM-USD,Cosmos USD,9.5867,-0.3521,-3.54%,3.664B,211.072M,211.072M,211.072M,382.183M,,
UNI7083-USD,Uniswap USD,5.9168,-0.3032,-4.87%,3.539B,130.979M,130.979M,130.979M,598.187M,,
INJ-USD,Injective USD,40.23,-2.31,-5.43%,3.37B,333.42M,333.42M,333.42M,83.756M,,
OP-USD,Optimism USD,3.5047,0.0803,+2.35%,3.355B,410.965M,410.965M,410.965M,957.379M,,
XLM-USD,Stellar USD,0.115436,-0.00462,-3.85%,3.263B,108.376M,108.376M,108.376M,28.269B,,
OKB-USD,OKB USD,53.6,-1.06,-1.94%,3.216B,6.004M,6.004M,6.004M,60M,,
LDO-USD,Lido DAO USD,3.6049,0.4477,+14.18%,3.209B,279.714M,279.714M,279.714M,890.178M,,
NEAR-USD,NEAR Protocol USD,3.1487,-0.2589,-7.60%,3.163B,288.789M,288.789M,288.789M,1.005B,,
ETC-USD,Ethereum Classic USD,20.67,0.28,+1.39%,2.996B,348.298M,348.298M,348.298M,144.957M,,
BXC5168-USD,Bitcoin Classic USD,4625.05,-93.21,-1.98%,2.776B,961344,961344,961344,600147,,
FIL-USD,Filecoin USD,5.4136,-0.4397,-7.51%,2.667B,296.252M,296.252M,296.252M,492.613M,,
XMR-USD,Monero USD,144.94,-2.37,-1.61%,2.664B,106.19M,106.19M,106.19M,18.382M,,
