id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,47336.0,931370304742,1,998111909306.0,61322997227.0,48888.0,45245.0,2076.82,4.58872,42996276158.0,4.83988,19595775.0,21000000.0,21000000.0,69045.0,-31.15243,2021-11-10T14:24:11.849Z,67.81,70002.27073,2013-07-06T00:00:00.000Z,,2024-01-11T15:41:51.229Z,-2.455362610934469,4.588723544604932,8.489008027417194
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2618.07,314607789676,2,314607789676.0,53442863047.0,2677.46,2404.53,177.01,7.25146,20615605361.0,7.0123,120182462.323375,120182462.323375,,4878.26,-46.11103,2021-11-10T14:24:19.604Z,0.432979,607053.02334,2015-10-20T00:00:00.000Z,"{'times': 72.94417528866352, 'currency': 'btc', 'percentage': 7294.417528866352}",2024-01-11T15:42:03.460Z,-1.4614306039498026,7.251457617490045,15.717409362233717
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.9993,94566293868,3,94566293868.0,75864589814.0,1.005,0.992213,-0.000673504195809693,-0.06735,368226635.0,0.39091,94619119046.139,94619119046.139,,1.32,-24.42181,2018-07-24T00:00:00.000Z,0.572521,74.66111,2015-03-02T00:00:00.000Z,,2024-01-11T15:40:18.463Z,-0.40119634251453556,-0.06735222495742652,-0.11923048288569627
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,309.55,47848180236,4,47848180236.0,2022556840.0,317.66,291.49,15.55,5.29032,2544458049.0,5.61644,153856150.0,153856150.0,200000000.0,686.31,-54.686,2021-05-10T07:24:17.097Z,0.0398177,780942.06604,2017-10-19T00:00:00.000Z,,2024-01-11T15:42:04.182Z,-2.3239494079580068,5.290319348171297,-3.757294429521587
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,102.5,44884825274,5,58873746258.0,5010714343.0,106.95,93.59,8.91,9.5209,4479272737.0,11.08579,432193606.925024,566892186.678298,,259.96,-60.26425,2021-11-06T21:54:35.825Z,0.500801,20526.29759,2020-05-11T19:35:23.449Z,,2024-01-11T15:41:48.642Z,-3.983299900624906,9.520900919192963,0.6190104932310403
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.605697,33055487603,6,60968964981.0,2567491376.0,0.623391,0.558786,0.04691106,8.39517,2756851681.0,9.09893,54210437480.0,99988065643.0,100000000000.0,3.4,-82.09762,2018-01-07T00:00:00.000Z,0.00268621,22549.16329,2014-05-22T00:00:00.000Z,,2024-01-11T15:41:52.526Z,-1.8975563429044797,8.395173512020351,3.7775386493896397
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.995854,25210082567,7,25236255122.0,23146118319.0,1.005,0.99235,-0.002825263549706136,-0.2829,29110478.0,0.11561,25267739988.7136,25293972403.2277,,1.17,-15.08065,2019-05-08T00:40:28.300Z,0.877647,13.46872,2023-03-11T08:02:13.981Z,,2024-01-11T15:41:33.076Z,-0.5806085131821306,-0.28289989732906656,-0.34991778855442723
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2629.31,24761819260,8,24762454290.0,52575813.0,2676.38,2412.15,190.5,7.81115,2392277257.0,10.69435,9314775.37615749,9315014.2582432,9315014.2582432,4829.57,-45.31561,2021-11-10T14:40:47.256Z,482.9,446.91282,2020-12-22T04:08:21.854Z,,2024-01-11T15:41:54.148Z,-1.2970180060644578,7.811145248837928,16.106197238062457
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.591409,20804577269,9,26701095430.0,1521547852.0,0.614137,0.499397,0.08987,17.91886,3207190525.0,18.22538,35062455754.9956,45000000000.0,45000000000.0,3.09,-80.77211,2021-09-02T06:00:10.474Z,0.01925275,2982.92506,2020-03-13T02:22:55.044Z,,2024-01-11T15:41:55.933Z,-1.5223108611556746,17.91886140877542,3.957233154746115
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,40.12,14765265860,10,17505142484.0,1498064874.0,41.43,34.26,5.86,17.11475,2229536027.0,17.78545,366631053.56742,434663953.421689,720000000.0,144.96,-72.21939,2021-11-21T14:18:56.538Z,2.8,1337.70732,2020-12-31T13:15:21.540Z,,2024-01-11T15:41:50.969Z,-1.5405674303878616,17.114748252010017,6.116512480077032
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.085753,12281568096,11,12281550011.0,1024905995.0,0.087278,0.077747,0.00785926,10.08967,1155928283.0,10.38977,142610536383.705,142610326383.705,,0.731578,-88.22684,2021-05-08T05:08:23.458Z,8.69e-05,99009.50421,2015-05-06T00:00:00.000Z,,2024-01-11T15:41:49.874Z,-1.2747045009710922,10.089666997353149,2.134768183174713
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,8.27,10932644110,12,11604231196.0,692739822.0,8.55,7.01,1.26,18.00965,1678049992.0,18.13208,1317775106.08394,1398725399.00487,,54.98,-84.898,2021-11-04T14:10:09.301Z,2.7,207.8166,2020-08-20T05:48:11.359Z,,2024-01-11T15:41:40.514Z,-2.1236952446074224,18.00964988678474,5.559812711927662
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.106311,9424906187,13,9424900141.0,603007676.0,0.108092,0.103259,0.0021817,2.09518,216332462.0,2.34925,88255101597.2752,88255044979.2907,,0.231673,-53.92661,2018-01-05T00:00:00.000Z,0.00180434,5815.70258,2017-11-12T00:00:00.000Z,"{'times': 54.95313948133479, 'currency': 'usd', 'percentage': 5495.313948133479}",2024-01-11T15:41:59.470Z,-1.3161553415136666,2.09517948301553,-0.9921941507590959
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,15.18,8661630786,14,15246666473.0,908837288.0,15.61,14.03,0.941255,6.61267,559699787.0,6.90823,568099971.3083414,1000000000.0,1000000000.0,52.7,-71.06994,2021-05-10T00:13:57.214Z,0.148183,10188.04737,2017-11-29T00:00:00.000Z,,2024-01-11T15:41:59.007Z,-1.8661885337736217,6.612673145095507,4.700312329336623
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.930471,8637508057,15,9304708141.0,1126342464.0,0.955801,0.834159,0.091407,10.89398,838247015.0,10.74777,9282943566.203985,10000000000.0,10000000000.0,2.92,-68.09965,2021-12-27T02:08:34.307Z,0.00314376,29491.88965,2019-05-10T00:00:00.000Z,"{'times': 352.79118405422224, 'currency': 'usd', 'percentage': 35279.118405422225}",2024-01-11T15:42:06.591Z,-1.954312087483753,10.893982979803802,6.401959488911787
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,2.27,7884207697,16,11635144569.0,75113309.0,2.3,2.2,0.060385,2.72713,236509420.0,3.09256,3456526182.83703,5100979501.30462,,5.29,-57.03529,2021-11-12T06:50:02.476Z,0.519364,337.68446,2021-09-21T00:33:11.092Z,,2024-01-11T15:41:49.495Z,-1.1360833626388327,2.7271335691466745,5.090275622756972
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,47484.0,7563951937,17,7563951937.0,778252586.0,48532.0,45180.0,2258.93,4.99488,383380952.0,5.33914,158168.98879455,158168.98879455,158168.98879455,70643.0,-32.78372,2021-11-10T14:40:19.650Z,3139.17,1412.62341,2019-04-02T00:00:00.000Z,,2024-01-11T15:41:49.256Z,-2.1604326610778384,4.994882498204145,8.86053928113584
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.026e-05,6049258302,18,10265296258.0,333479974.0,1.049e-05,9.34e-06,8.81384e-07,9.39675,513497852.0,9.27601,589281752327079.8,999982388706618.0,,8.616e-05,-88.07154,2021-10-28T03:54:55.568Z,5.6366e-11,18233142.96731,2020-11-28T11:26:25.838Z,,2024-01-11T15:41:56.131Z,-1.8336356060608017,9.3967511470302,2.226354825472634
